council_district,request_count,unresolved_count,long_resolution_count,repeat_clustered_count,median_resolution_days,records_with_coordinates,district_area_sq_mi,district_member,unresolved_share,long_resolution_share,repeat_cluster_share,requests_per_sq_mile,service_burden_score,service_burden_class
H,9352,1686,1935,3883,5.032453703703704,9352,41.939097556354895,MARIO CASTILLO,0.18028229255774167,0.2069076133447391,0.41520530367835756,222.99001516266347,80.90909090909092,Very High
C,11903,1914,2261,5780,4.014016203703704,11903,35.18519681491094,ABBIE KAMIN,0.1607997983701588,0.18995211291271108,0.48559186759640427,338.295677657136,73.63636363636363,High
B,9947,1955,2147,4188,5.002609953703704,9947,112.86820451786754,TARSHA JACKSON,0.19654167085553434,0.21584397305720318,0.4210314667739017,88.12933671169851,65.9090909090909,High
D,10746,1453,2463,4604,3.604837962962963,10746,58.48669326173092,CAROLYN EVANS-SHABAZZ,0.13521310254978597,0.22920156337241765,0.4284384887399963,183.73410088190667,62.272727272727266,High
A,6852,1013,1887,2855,6.629270833333333,6852,82.15380733687743,AMY PECK,0.14784004670169293,0.2753940455341506,0.4166666666666667,83.40453378993008,60.0,High
K,7547,1139,1446,3001,3.007407407407408,7547,47.40965849541504,MARTHA CASTEX-TATUM,0.1509208957201537,0.19159931098449715,0.397641446932556,159.18697243368388,52.27272727272728,High
I,8787,1152,1858,3507,4.054039351851852,8787,56.481656888417724,JOAQUIN MARTINEZ,0.13110276544895869,0.21144873108000456,0.399112325025606,155.57263161311198,49.09090909090909,Medium
J,3140,513,432,1270,1.8521296296296297,3140,20.78955100397228,EDWARD POLLARD,0.16337579617834394,0.1375796178343949,0.40445859872611467,151.03741294845844,47.27272727272728,Medium
E,4809,648,1075,1503,4.41962962962963,4809,129.7635477981261,FRED FLICKINGER,0.13474734872114785,0.22353919733832397,0.3125389893948846,37.05971423871201,37.72727272727273,Medium
F,4734,709,567,2111,1.7680034722222222,4734,53.31210703810855,TIFFANY D. THOMAS,0.14976763836079426,0.11977186311787072,0.4459231094212083,88.79784092225135,36.81818181818182,Medium
G,4452,608,607,1981,1.1232754629629629,4452,33.37001642174926,MARY NAN HUFFMAN,0.13656783468104222,0.13634321653189577,0.4449685534591195,133.4131797759129,34.09090909090909,Medium
