standardized_category,median_resolution_days
Solid Waste / Recycling,8.059751157407408
Drainage / Flooding,4.950491898148148
Road / Pothole / Bridge,1.7219907407407409
Traffic Signals / Lighting,1.018449074074074
Sewer / Wastewater,0.7602141203703703
Water,0.6407233796296297
